Topic Id,Top Words...
0,feldberg museum aida maffay geschichte buschmüller kaefer schleich wächtler auto martin loibl band haus gröbenzell wirbser runge stadt parkhaus bisschen
1,deutschland kernenergie atomkraft deutschen atomenergie tschernobyl strom kernkraft ausstieg bundesrepublik atomkraftwerke frage netz wyhl katastrophe nutzung welt energie akw energien
2,tschernobyl deutschen pausewang libyen gudrun deutschland gau wolke schweiz unfall wabnitz katastrophe ddr angst technologie stasi deutsche bernhard dobler wütz
3,bund jülich weinzierl umwelt weiger naturschutz klimaschutz hubert nordrhein umweltschutz natur mitglieder pflanzen hofreiter ii hoehn wind prozent friedrichs ministerin
4,volk clemensburg tinnes verbarg gäste most van verhaag welt wunderland wirt sepp kneipe strigel kühlturm himmel film besucher frankreich peter
5,fuer sueddeutsche ueber zeitung gmbh load words length body date 1995 muenchen copyright wackersdorf gruenen muessen 1994 1998 koennen section
6,widerstand demonstrationen politik demonstration deutschland straße demo leute bewegung demonstranten protest leben staat stadt love kueppersbusch spital demokratie angst gruppen
7,grünen stuttgart spd baden partei cdu württemberg 21 mappus prozent grüne ministerpräsident politik grün politische 90 filbinger parteien wahlen fdp
8,zeitung süddeutsche münchen bayern wackersdorf gmbh load words body copyright date length inkl regionalausgaben section vorbehalten byline graphic samstag foto
9,wald polizei polizisten hambacher forst rwe grothus allegra kohle clumsy braunkohle dannenberg einsatz tagebau gewalt rettelbach räumung gorleben demonstranten joy
10,deutschland german deutsch 89 90 classification language zeitung allgemeine frankfurter publication type geographic subject deutsche industry parteien 75 kalkar politik
11,bmw wackersdorf waa millionen mark dm oberpfalz arbeitsplaetze gelaende unternehmen schwandorf regensburg 000 prozent milliarden unternehmer firmen gemeinde wackersdorfer innovationspark
12,csu bayern strauß söder bayerischen franz josef landtag bayerische bayerns markus partei ministerpräsident stoiber br politischen transrapid seehofer staatsregierung dgb
13,gericht kik edeka kubikmeter klage urteil wasser 000 fahrverbote richter stadt teublitz steiner bundesverfassungsgericht gutachten klagen diesel gewalt steger rgermeisterin
14,00 30 paulig 10 20 19 radio 18 sturm ruth 14 komm 5 05 13 15 musik lora 17 1
15,sz hans leben geld christoph kinder michael welt leute polt sagen eigentlich eltern familie frau kopf gerne vater letzten well
16,waa schuierer wackersdorf landrat hans film oberpfalz schwandorf demonstranten strauß 1986 gegner staatsregierung polizei widerstand polizisten bau zaun 1989 spd
17,startbahn donau flughafen amp ausbau strecke freiburg projekt bahn bau autobahn stadt schmidt gebaut meter offenburg stadion bürgerinitiativen naturschutz fmg
18,gorleben endlager brennelemente zwischenlager siemens plutonium anlage wiederaufarbeitung castor uran la karlsruhe deutschland reaktor betrieb frankreich deutschen hague endlagerung tonnen
19,verlag tollwood autoren aumüller bergmann lohr reiß bairische asch prost ettl liqui festival lyrik musik trikont moly andrea herz roman
